Id,Label,Category,Weight
#WWG1WGA,#WWG1WGA,QANON,7612
#QAnon,#QAnon,QANON,4941
#FakeNews,#FakeNews,FAKENEWS,3885
#COVID19,#COVID19,otros,2657
#Qanon,#Qanon,QANON,2313
#CCPVirus,#CCPVirus,ConspiracionesCOVID,2259
#coronavirus,#coronavirus,otros,2107
#ChinaLiedPeopleDied,#ChinaLiedPeopleDied,ConspiracionesCOVID,1874
#ChineseVirus,#ChineseVirus,ConspiracionesCOVID,1861
#MAGA,#MAGA,otros,1820
#TheGreatAwakening,#TheGreatAwakening,QANON,1779
#COVIDIOTS,#COVIDIOTS,ConspiracionesCOVID,1667
#ChinaVirus,#ChinaVirus,ConspiracionesCOVID,1483
#FireFauci,#FireFauci,ConspiracionesCOVID,1432
#China,#China,otros,1347
#Q,#Q,QANON,1203
#qanon,#qanon,QANON,1168
#GreatAwakening,#GreatAwakening,QANON,1117
#WWG1WGAWORLDWIDE,#WWG1WGAWORLDWIDE,QANON,1103
#KAG,#KAG,otros,1045
#COVID,#COVID,otros,967
#FakeNewsMedia,#FakeNewsMedia,FAKENEWS,894
#COVIDIOT,#COVIDIOT,ConspiracionesCOVID,872
#Trump2020,#Trump2020,otros,844
#CCP,#CCP,otros,828
#DarkToLight,#DarkToLight,Otrasteorias,823
#SaveTheChildren,#SaveTheChildren,QANON,808
#fakenews,#fakenews,FAKENEWS,777
#DeepState,#DeepState,Otrasteorias,737
#Trump,#Trump,otros,737
#QArmy,#QArmy,QANON,693
#WakeUpAmerica,#WakeUpAmerica,otros,684
#ChinaLiedAndPeopleDied,#ChinaLiedAndPeopleDied,ConspiracionesCOVID,671
#WuhanVirus,#WuhanVirus,otros,668
#Covid_19,#Covid_19,otros,632
#WeAreTheNewsNow,#WeAreTheNewsNow,otros,588
#BoycottChina,#BoycottChina,ConspiracionesCOVID,578
#ChinaMustPay,#ChinaMustPay,ConspiracionesCOVID,566
#ChinaMustExplain,#ChinaMustExplain,ConspiracionesCOVID,561
#Coronavirustruth,#Coronavirustruth,ConspiracionesCOVID,557
#Coronavirus,#Coronavirus,otros,553
#QANON,#QANON,QANON,549
#wwg1wga,#wwg1wga,QANON,530
#FactsMatter,#FactsMatter,otros,526
#DrainTheSwamp,#DrainTheSwamp,POLITICa,525
#InItTogether,#InItTogether,otros,512
#UnitedNotDivided,#UnitedNotDivided,otros,497
#QAnons,#QAnons,QANON,467
#SaveAmerica,#SaveAmerica,otros,465
#endthelockdown,#endthelockdown,ConspiracionesCOVID,460
#KAG2020,#KAG2020,otros,438
#Plandemic,#Plandemic,ConspiracionesCOVID,422
#FilmYourHospital,#FilmYourHospital,ConspiracionesCOVID,407
#ChineseVirus19,#ChineseVirus19,ConspiracionesCOVID,406
#TheGreatAwakeningWorldwide,#TheGreatAwakeningWorldwide,QANON,404
#VoterID,#VoterID,POLITICa,404
#POTUS,#POTUS,otros,398
#WHO,#WHO,otros,393
#COVID2019,#COVID2019,otros,374
#PizzaGate,#PizzaGate,Otrasteorias,366
#TrustThePlan,#TrustThePlan,QANON,357
#QAnon2020,#QAnon2020,QANON,352
#WWG1WGA_WORLDWIDE,#WWG1WGA_WORLDWIDE,QANON,351
#MakeChinaPay,#MakeChinaPay,ConspiracionesCOVID,350
#LockdownEnd,#LockdownEnd,ConspiracionesCOVID,342
#VoterFraud,#VoterFraud,POLITICa,337
#ChinaLiedPeopleDie,#ChinaLiedPeopleDie,ConspiracionesCOVID,334
#BillGates,#BillGates,otros,334
#GodWins,#GodWins,otros,330
#CrimesAgainstHumanity,#CrimesAgainstHumanity,QANON,320
#FakeNewsAlert,#FakeNewsAlert,FAKENEWS,295
#CoronaHoax,#CoronaHoax,ConspiracionesCOVID,292
#fraud,#fraud,POLITICa,287
#FauciFraud,#FauciFraud,ConspiracionesCOVID,283
#Wuhan,#Wuhan,otros,278
#CCPvirus,#CCPvirus,ConspiracionesCOVID,275
#StayHome,#StayHome,otros,271
#CoronavirusPandemic,#CoronavirusPandemic,otros,268
#WarRoomPandemic,#WarRoomPandemic,otros,259
#CCP_is_terrorist,#CCP_is_terrorist,ConspiracionesCOVID,255
#Covid19,#Covid19,otros,246
#WHOLiedPeopleDied,#WHOLiedPeopleDied,otros,241
#MAGA2020,#MAGA2020,otros,238
#Adrenochrome,#Adrenochrome,otros,235
#WWG1GWA,#WWG1GWA,otros,231
#TWGRP,#TWGRP,otros,226
#covid19,#covid19,otros,226
#CCPLiedPeopleDied,#CCPLiedPeopleDied,ConspiracionesCOVID,226
