Source,Target,Weight
#ChinaLiedPeopleDied,#ChinaVirus,232
#QAnons,#WWG1WGA,192
#ChinaVirus,#ChineseVirus,88
#CrimesAgainstChildren,#Q,2
#CrimesAgainstChildren,#QAnon,15
#CrimesAgainstChildren,#SaveTheChildren,4
#CrimesAgainstChildren,#TheGreatAwakening,9
#CrimesAgainstChildren,#TheGreatAwakeningWorldwide,1
#CrimesAgainstChildren,#WWG1WGA,8
#Q,#QAnon,318
#Q,#SaveTheChildren,29
#Q,#TheGreatAwakening,121
#Q,#TheGreatAwakeningWorldwide,19
#Q,#WWG1WGA,391
#QAnon,#SaveTheChildren,117
#QAnon,#TheGreatAwakening,473
#QAnon,#TheGreatAwakeningWorldwide,90
#QAnon,#WWG1WGA,1652
#SaveTheChildren,#TheGreatAwakening,71
#SaveTheChildren,#TheGreatAwakeningWorldwide,15
#SaveTheChildren,#WWG1WGA,202
#TheGreatAwakening,#TheGreatAwakeningWorldwide,82
#TheGreatAwakening,#WWG1WGA,787
#TheGreatAwakeningWorldwide,#WWG1WGA,115
#CrimesAgainstChildren,#TheStormIsUponUs,2
#QAnon,#TheStormIsUponUs,38
#DemocratsAreDestroyingAmerica,#FakeNews,21
#DemocratsAreDestroyingAmerica,#TRUMP2020,2
#FakeNews,#TRUMP2020,3
#MAGA,#Qanon,304
#MAGA,#Trump,289
#Qanon,#Trump,193
#SaveTheChildren,#Trump,9
#Trump2020,#VoterFraud,25
#Trump2020,#VoterIDNow,9
#VoterFraud,#VoterIDNow,42
#MAGA,#Plandemic,12
#MAGA,#QAnon,626
#MAGA,#WWG1WGA,817
#Plandemic,#QAnon,12
#Plandemic,#WWG1WGA,22
#QAnon,#SavetheChildren,17
#WWG1WGA,#WWG1WGAWORLDWIDE,348
#COVIDIOT,#COVIDIOTS,35
#BillGatesIsNotOurFriend,#ChinaLiedPeopleDied,3
#BillGatesIsNotOurFriend,#Trump2020,2
#ChinaLiedPeopleDied,#Trump2020,16
#PatriotStrikeTeam,#WWG1WGA,95
#BoycottChina,#MakeChinaPay,36
#COVIDIOT,#ChinaLiedPeopleDied,2
#DemocratsHateAmerica,#QAnon,100
#DemocratsHateAmerica,#QAnon2018,98
#DemocratsHateAmerica,#QAnon2020,97
#DemocratsHateAmerica,#Trump,21
#QAnon,#QAnon2018,148
#QAnon,#QAnon2020,196
#QAnon,#Trump,135
#QAnon2018,#QAnon2020,146
#QAnon2018,#Trump,31
#QAnon2020,#Trump,35
#q,#qanon,144
#ChinaLiedAndPeopleDied,#KAG,6
#ChinaLiedAndPeopleDied,#Trump2020,5
#KAG,#Trump2020,291
#FilmYourHospital,#plandemic,5
#VoterID,#VoterIDNow,26
#ChinaLiedPeopleDied,#ChinaMustPay,148
#GreatAwakening,#Qanon,488
#GreatAwakening,#SaveAmerica,437
#GreatAwakening,#WWG1WGA,687
#GreatAwakening,#WakeUpAmerica,460
#Qanon,#SaveAmerica,436
#Qanon,#WWG1WGA,1019
#Qanon,#WakeUpAmerica,456
#SaveAmerica,#WWG1WGA,454
#SaveAmerica,#WakeUpAmerica,439
#WWG1WGA,#WakeUpAmerica,523
#WWG1WGAWORLDWIDE,#q,43
#WWG1WGAWORLDWIDE,#qanon,78
#BoycottChina,#CCPVirus,26
#BoycottChina,#ChinaMustExplain,12
#BoycottChina,#ChinaVirus,46
#BoycottChina,#ChineseVirus,24
#BoycottChina,#Trump2020,5
#CCPVirus,#ChinaMustExplain,14
#CCPVirus,#ChinaVirus,89
#CCPVirus,#ChineseVirus,79
#CCPVirus,#MakeChinaPay,48
#CCPVirus,#Trump2020,11
#ChinaMustExplain,#ChinaVirus,28
#ChinaMustExplain,#ChineseVirus,40
#ChinaMustExplain,#MakeChinaPay,7
#ChinaMustExplain,#Trump2020,2
#ChinaVirus,#MakeChinaPay,26
#ChinaVirus,#Trump2020,56
#ChineseVirus,#MakeChinaPay,16
#ChineseVirus,#Trump2020,23
#MakeChinaPay,#Trump2020,4
#Q,#TRUMP2020,12
#Q,#WWG1WGAWORLDWIDE,55
#TRUMP2020,#WWG1WGAWORLDWIDE,67
#QAnon,#QArmy,350
#QAnon,#Trump2020,130
#QArmy,#Trump2020,42
#FakeNews,#KAG2020,49
#MAGA,#QANON,84
#QANON,#WWG1WGA,234
#QAnons,#WWG1WGA_WORLDWIDE,17
#FireFauci,#MAGA2020,4
#QArmy,#WWG1WGA,338
#Trump2020,#WWG1WGA,386
#FakeNews,#FakeNewsMedia,75
#WWG1WGA,#qanon,230
#KAG,#MAGA,498
#KAG,#TheGreatAwakening,86
#KAG,#WWG1WGA,650
#MAGA,#TheGreatAwakening,114
#AmericaFirst,#QAnon,12
