Id,Label,Category,Weight
#WWG1WGA,#WWG1WGA,QANON,7612
#QAnon,#QAnon,QANON,4941
#FakeNews,#FakeNews,FAKE NEWS,3885
#Qanon,#Qanon,QANON,2313
#CCPVirus,#CCPVirus,teoriasconspCOVID,2259
#ChinaLiedPeopleDied,#ChinaLiedPeopleDied,teoriasconspCOVID,1874
#ChineseVirus,#ChineseVirus,teoriasconspCOVID,1861
#MAGA,#MAGA,AltRight,1820
#TheGreatAwakening,#TheGreatAwakening,QANON,1779
#COVIDIOTS,#COVIDIOTS,teoriasconspCOVID,1667
#ChinaVirus,#ChinaVirus,teoriasconspCOVID,1483
#FireFauci,#FireFauci,teoriasconspCOVID,1432
#Q,#Q,QANON,1203
#qanon,#qanon,QANON,1168
#GreatAwakening,#GreatAwakening,QANON,1117
#WWG1WGAWORLDWIDE,#WWG1WGAWORLDWIDE,QANON,1103
#KAG,#KAG,AltRight,1045
#FakeNewsMedia,#FakeNewsMedia,FAKE NEWS,894
#COVIDIOT,#COVIDIOT,teoriasconspCOVID,872
#Trump2020,#Trump2020,AltRight,844
#DarkToLight,#DarkToLight,OTRaS,823
#SaveTheChildren,#SaveTheChildren,QANON,808
#fakenews,#fakenews,FAKE NEWS,777
#Trump,#Trump,AltRight,737
#DeepState,#DeepState,OTRaS,737
#QArmy,#QArmy,QANON,693
#WakeUpAmerica,#WakeUpAmerica,AltRight,684
#ChinaLiedAndPeopleDied,#ChinaLiedAndPeopleDied,teoriasconspCOVID,671
#BoycottChina,#BoycottChina,teoriasconspCOVID,578
#ChinaMustPay,#ChinaMustPay,teoriasconspCOVID,566
#ChinaMustExplain,#ChinaMustExplain,teoriasconspCOVID,561
#Coronavirustruth,#Coronavirustruth,teoriasconspCOVID,557
#QANON,#QANON,QANON,549
#wwg1wga,#wwg1wga,QANON,530
#DrainTheSwamp,#DrainTheSwamp,AltRight,525
#QAnons,#QAnons,QANON,467
#SaveAmerica,#SaveAmerica,AltRight,465
#endthelockdown,#endthelockdown,teoriasconspCOVID,460
#KAG2020,#KAG2020,AltRight,438
#Plandemic,#Plandemic,teoriasconspCOVID,422
#FilmYourHospital,#FilmYourHospital,teoriasconspCOVID,407
#ChineseVirus19,#ChineseVirus19,teoriasconspCOVID,406
#VoterID,#VoterID,POLITICa,404
#TheGreatAwakeningWorldwide,#TheGreatAwakeningWorldwide,QANON,404
#PizzaGate,#PizzaGate,OTRaS,366
#TrustThePlan,#TrustThePlan,QANON,357
#QAnon2020,#QAnon2020,QANON,352
#WWG1WGA_WORLDWIDE,#WWG1WGA_WORLDWIDE,QANON,351
#MakeChinaPay,#MakeChinaPay,teoriasconspCOVID,350
#LockdownEnd,#LockdownEnd,teoriasconspCOVID,342
#VoterFraud,#VoterFraud,POLITICa,337
#ChinaLiedPeopleDie,#ChinaLiedPeopleDie,teoriasconspCOVID,334
#CrimesAgainstHumanity,#CrimesAgainstHumanity,QANON,320
#FakeNewsAlert,#FakeNewsAlert,FAKE NEWS,295
#CoronaHoax,#CoronaHoax,teoriasconspCOVID,292
#fraud,#fraud,POLITICa,287
#FauciFraud,#FauciFraud,teoriasconspCOVID,283
#CCPvirus,#CCPvirus,teoriasconspCOVID,275
#CCP_is_terrorist,#CCP_is_terrorist,teoriasconspCOVID,255
#MAGA2020,#MAGA2020,AltRight,238
#CCPLiedPeopleDied,#CCPLiedPeopleDied,teoriasconspCOVID,226
#BillGatesIsEvil,#BillGatesIsEvil,teoriasconspCOVID,223
#VoterIDNow,#VoterIDNow,POLITICa,220
#q,#q,QANON,218
#Treason,#Treason,OTRaS,212
#BillGatesVirus,#BillGatesVirus,teoriasconspCOVID,212
#FakeNewsCNN,#FakeNewsCNN,AltRight,212
#5GCoronavirus,#5GCoronavirus,teoriasconspCOVID,211
#Genocide,#Genocide,teoriasconspCOVID,197
#ChineseBioterrorism,#ChineseBioterrorism,teoriasconspCOVID,190
#FAKENEWS,#FAKENEWS,FAKE NEWS,190
#Agenda21,#Agenda21,OTRaS,188
#Pedogate,#Pedogate,OTRaS,182
#DemocratsHateAmerica,#DemocratsHateAmerica,AltRight,180
#BigPharma,#BigPharma,teoriasconspCOVID,177
#TheStormIsUponUs,#TheStormIsUponUs,QANON,177
#TheStormIsHere,#TheStormIsHere,QANON,172
#chinazi,#chinazi,teoriasconspCOVID,171
#GreatAwakeningWorldwide,#GreatAwakeningWorldwide,QANON,171
#pizzagate,#pizzagate,OTRaS,169
#Spygate,#Spygate,OTRaS,168
#TRUMP2020,#TRUMP2020,AltRight,168
