Source,Target,Weight
#ChinaLiedPeopleDied,#ChinaVirus,232
#QAnons,#WWG1WGA,192
#ChinaVirus,#ChineseVirus,88
#SaveTheChildren,#TheGreatAwakening,71
#SaveTheChildren,#TheGreatAwakeningWorldwide,15
#CrimesAgainstChildren,#SaveTheChildren,4
#QAnon,#SaveTheChildren,117
#Q,#SaveTheChildren,29
#DarkToLight,#SaveTheChildren,64
#SaveTheChildren,#WWG1WGA,202
#TheGreatAwakening,#TheGreatAwakeningWorldwide,82
#CrimesAgainstChildren,#TheGreatAwakening,9
#QAnon,#TheGreatAwakening,473
#Q,#TheGreatAwakening,121
#DarkToLight,#TheGreatAwakening,157
#TheGreatAwakening,#WWG1WGA,787
#CrimesAgainstChildren,#TheGreatAwakeningWorldwide,1
#QAnon,#TheGreatAwakeningWorldwide,90
#Q,#TheGreatAwakeningWorldwide,19
#DarkToLight,#TheGreatAwakeningWorldwide,72
#TheGreatAwakeningWorldwide,#WWG1WGA,115
#CrimesAgainstChildren,#QAnon,15
#CrimesAgainstChildren,#Q,2
#CrimesAgainstChildren,#DarkToLight,2
#CrimesAgainstChildren,#WWG1WGA,8
#Q,#QAnon,318
#DarkToLight,#QAnon,148
#QAnon,#WWG1WGA,1652
#DarkToLight,#Q,47
#Q,#WWG1WGA,391
#DarkToLight,#WWG1WGA,285
#CrimesAgainstChildren,#TheStormIsUponUs,2
#QAnon,#TheStormIsUponUs,38
#VoterFraud,#VoterIDNow,42
#Plandemic,#WWG1WGA,22
#PizzaGate,#Plandemic,6
#Plandemic,#QAnon,12
#PizzaGate,#WWG1WGA,58
#PizzaGate,#QAnon,61
#QAnon,#SavetheChildren,17
#Agenda21,#SavetheChildren,1
#Agenda2030,#SavetheChildren,1
#Agenda21,#QAnon,7
#Agenda2030,#QAnon,7
#Agenda2030,#Agenda21,42
#WWG1WGA,#WWG1WGAWORLDWIDE,348
#COVIDIOT,#COVIDIOTS,35
#Agenda2030,#FireFauci,2
#BillGatesIsNotOurFriend,#ChinaLiedPeopleDied,3
#BoycottChina,#MakeChinaPay,36
#COVIDIOT,#ChinaLiedPeopleDied,2
#QAnon,#QAnon2018,148
#QAnon,#QAnon2020,196
#QAnon2018,#QAnon2020,146
#q,#qanon,144
#FilmYourHospital,#plandemic,5
#VoterID,#VoterIDNow,26
#ChinaLiedPeopleDied,#ChinaMustPay,148
#Qanon,#WWG1WGA,1019
#GreatAwakening,#Qanon,488
#GreatAwakening,#WWG1WGA,687
#WWG1WGAWORLDWIDE,#q,43
#WWG1WGAWORLDWIDE,#qanon,78
#ChinaMustExplain,#ChinaVirus,28
#BoycottChina,#ChinaVirus,46
#CCPVirus,#ChinaVirus,89
#ChinaVirus,#MakeChinaPay,26
#BoycottChina,#ChinaMustExplain,12
#CCPVirus,#ChinaMustExplain,14
#ChinaMustExplain,#ChineseVirus,40
#ChinaMustExplain,#MakeChinaPay,7
#BoycottChina,#CCPVirus,26
#BoycottChina,#ChineseVirus,24
#CCPVirus,#ChineseVirus,79
#CCPVirus,#MakeChinaPay,48
#ChineseVirus,#MakeChinaPay,16
#Q,#WWG1WGAWORLDWIDE,55
#QAnon,#QArmy,350
#QANON,#WWG1WGA,234
#QAnons,#WWG1WGA_WORLDWIDE,17
#QArmy,#WWG1WGA,338
#FakeNews,#FakeNewsMedia,75
#DeepState,#FakeNewsMedia,8
#WWG1WGA,#qanon,230
#QAnon2020,#WWG1WGA,70
#QAnon2020,#TheGreatAwakening,31
#ChinaLiedPeopleDie,#ChinaVirus,44
#ChinaLiedPeopleDie,#MakeChinaPay,17
#BoycottChina,#ChinaLiedPeopleDie,14
#Pedogate,#WWG1WGA,39
#Pedogate,#WWG1WGAWORLDWIDE,5
#COVIDIOTS,#FakeNews,8
#BillGatesIsEvil,#BillGatesVirus,39
#BillGatesIsEvil,#BillGatesIsNotOurFriend,33
#BillGatesIsNotOurFriend,#BillGatesVirus,24
#CCP_is_terrorist,#ChinaLiedPeopleDied,20
#ChinaLiedPeopleDied,#chinazi,25
#ChinaLiedPeopleDied,#ChineseVirus,133
#BoycottChina,#ChinaLiedPeopleDied,77
#ChinaMustPay,#chinazi,6
#ChinaMustPay,#ChineseVirus,49
#BoycottChina,#ChinaMustPay,35
#ChineseVirus,#chinazi,6
#BoycottChina,#chinazi,8
#BoycottChina,#FakeNews,4
#qanon,#wwg1wga,200
#Qanons,#WWG1WGA,66
#DeepStateExposed,#WWG1WGA,19
#Q,#QANON,60
#ChinaLiedPeopleDie,#ChinaMustPay,33
#ChinaLiedPeopleDie,#Chinamustfall,5
#ChinaMustPay,#MakeChinaPay,16
#Chinamustfall,#MakeChinaPay,1
