Id,Label,Category,Weight
#WWG1WGA,#WWG1WGA,QANON,7612
#QAnon,#QAnon,QANON,4941
#FakeNews,#FakeNews,FAKENEWS,3885
#Qanon,#Qanon,QANON,2313
#CCPVirus,#CCPVirus,ConspiracionesCOVID,2259
#ChinaLiedPeopleDied,#ChinaLiedPeopleDied,ConspiracionesCOVID,1874
#ChineseVirus,#ChineseVirus,ConspiracionesCOVID,1861
#TheGreatAwakening,#TheGreatAwakening,QANON,1779
#COVIDIOTS,#COVIDIOTS,ConspiracionesCOVID,1667
#ChinaVirus,#ChinaVirus,ConspiracionesCOVID,1483
#FireFauci,#FireFauci,ConspiracionesCOVID,1432
#Q,#Q,QANON,1203
#qanon,#qanon,QANON,1168
#GreatAwakening,#GreatAwakening,QANON,1117
#WWG1WGAWORLDWIDE,#WWG1WGAWORLDWIDE,QANON,1103
#FakeNewsMedia,#FakeNewsMedia,FAKENEWS,894
#COVIDIOT,#COVIDIOT,ConspiracionesCOVID,872
#DarkToLight,#DarkToLight,Otrasteorias,823
#SaveTheChildren,#SaveTheChildren,QANON,808
#fakenews,#fakenews,FAKENEWS,777
#DeepState,#DeepState,Otrasteorias,737
#QArmy,#QArmy,QANON,693
#ChinaLiedAndPeopleDied,#ChinaLiedAndPeopleDied,ConspiracionesCOVID,671
#BoycottChina,#BoycottChina,ConspiracionesCOVID,578
#ChinaMustPay,#ChinaMustPay,ConspiracionesCOVID,566
#ChinaMustExplain,#ChinaMustExplain,ConspiracionesCOVID,561
#Coronavirustruth,#Coronavirustruth,ConspiracionesCOVID,557
#QANON,#QANON,QANON,549
#wwg1wga,#wwg1wga,QANON,530
#DrainTheSwamp,#DrainTheSwamp,POLITICa,525
#QAnons,#QAnons,QANON,467
#endthelockdown,#endthelockdown,ConspiracionesCOVID,460
#Plandemic,#Plandemic,ConspiracionesCOVID,422
#FilmYourHospital,#FilmYourHospital,ConspiracionesCOVID,407
#ChineseVirus19,#ChineseVirus19,ConspiracionesCOVID,406
#TheGreatAwakeningWorldwide,#TheGreatAwakeningWorldwide,QANON,404
#VoterID,#VoterID,POLITICa,404
#PizzaGate,#PizzaGate,Otrasteorias,366
#TrustThePlan,#TrustThePlan,QANON,357
#QAnon2020,#QAnon2020,QANON,352
#WWG1WGA_WORLDWIDE,#WWG1WGA_WORLDWIDE,QANON,351
#MakeChinaPay,#MakeChinaPay,ConspiracionesCOVID,350
#LockdownEnd,#LockdownEnd,ConspiracionesCOVID,342
#VoterFraud,#VoterFraud,POLITICa,337
#ChinaLiedPeopleDie,#ChinaLiedPeopleDie,ConspiracionesCOVID,334
#CrimesAgainstHumanity,#CrimesAgainstHumanity,QANON,320
#FakeNewsAlert,#FakeNewsAlert,FAKENEWS,295
#CoronaHoax,#CoronaHoax,ConspiracionesCOVID,292
#fraud,#fraud,POLITICa,287
#FauciFraud,#FauciFraud,ConspiracionesCOVID,283
#CCPvirus,#CCPvirus,ConspiracionesCOVID,275
#CCP_is_terrorist,#CCP_is_terrorist,ConspiracionesCOVID,255
#CCPLiedPeopleDied,#CCPLiedPeopleDied,ConspiracionesCOVID,226
#BillGatesIsEvil,#BillGatesIsEvil,ConspiracionesCOVID,223
#VoterIDNow,#VoterIDNow,POLITICa,220
#q,#q,QANON,218
#FakeNewsCNN,#FakeNewsCNN,FAKENEWS,212
#Treason,#Treason,Otrasteorias,212
#BillGatesVirus,#BillGatesVirus,ConspiracionesCOVID,212
#5GCoronavirus,#5GCoronavirus,ConspiracionesCOVID,211
#Genocide,#Genocide,ConspiracionesCOVID,197
#ChineseBioterrorism,#ChineseBioterrorism,ConspiracionesCOVID,190
#FAKENEWS,#FAKENEWS,FAKENEWS,190
#Agenda21,#Agenda21,Otrasteorias,188
#Pedogate,#Pedogate,Otrasteorias,182
#BigPharma,#BigPharma,ConspiracionesCOVID,177
#TheStormIsUponUs,#TheStormIsUponUs,QANON,177
#TheStormIsHere,#TheStormIsHere,QANON,172
#chinazi,#chinazi,ConspiracionesCOVID,171
#GreatAwakeningWorldwide,#GreatAwakeningWorldwide,QANON,171
#pizzagate,#pizzagate,Otrasteorias,169
#Chinamustfall,#Chinamustfall,ConspiracionesCOVID,168
#Spygate,#Spygate,Otrasteorias,168
#SignsYoureACOVIDIOT,#SignsYoureACOVIDIOT,ConspiracionesCOVID,166
#COVIDIDIOTS,#COVIDIDIOTS,ConspiracionesCOVID,165
#Qanons,#Qanons,QANON,161
#ChinaIsAsshoe,#ChinaIsAsshoe,ConspiracionesCOVID,159
#FakePandemic,#FakePandemic,ConspiracionesCOVID,159
